UMAP_1,UMAP_2
7.78301070954739,0.0483158683435027
-2.67623139593662,4.18873964306274
-1.07804979059757,-6.80107606891236
4.97155259873806,-0.276983245645374
-1.14530075762333,2.16193281170288
7.54969714906155,-1.36090172771057
5.23700116898953,-0.283143802915424
6.26525090959011,1.64993678089538
0.995403993391383,2.68113552090088
9.04023145463406,-0.411158278022617
-1.34361494753421,3.6397055244104
5.5569603326553,-1.2692853951796
6.1127087953323,2.02916751858154
-2.04196668837131,-6.37206996921143
7.0789534929031,-1.52829278949341
-4.53000332090915,2.65308485981384
0.508883643411983,-5.44359983447632
3.82086299683987,-0.0679908538206514
5.58531640794216,1.69971166607299
-1.02397085402073,-4.61724866870484
9.01069425370632,-1.03462709430298
-0.884566437936437,-4.59488548282227
5.5115969064468,0.9823773955957
6.0895941140884,1.19916997906128
-1.54837621424259,4.8526109313623
-0.380327921844136,-4.6246463203772
-4.43510557386936,1.5247791862146
-2.77734161589206,1.99562345501342
-4.07441259596409,1.79980622288147
6.98886035706936,1.65008102413574
4.66969655778347,0.760019168819577
9.62132047440945,-1.22712023500046
7.75461791779934,-0.112418248687595
-2.52217699263157,-3.95407928470215
-0.53826661083759,-7.15933717731079
0.0373638938003666,2.37080179211059
-6.11469293806614,-0.55244621578297
7.39557050492703,-1.30419452432236
-1.37442458841861,2.34262476917663
-1.52747894499363,-7.12611783984742
-1.75566340658725,-5.15211023334107
-5.61049724791111,0.793608531917721
-0.187943395710599,-4.79743732455811
5.82176135804592,-1.23232187274536
6.17802547242581,1.89602910038391
6.23511146333157,1.34874568935791
-4.423886072374,4.0169290160791
5.47922395493923,1.97370491978088
-1.85025693152012,-6.96007169726929
6.01794217851101,-0.892458676730007
-5.18518139097751,-0.588873825405448
-3.73762346479953,1.51769624706665
0.100896942877162,-6.96526826861939
-5.48572946760715,1.00931213852325
7.23593972947537,-1.40720917228302
-5.06385923597873,0.641228899921567
-1.85581399176181,-6.31471504214844
4.46843646790921,0.785169467891842
-3.16453529570163,-4.27299989703736
-2.44772769186557,0.895581588710934
-1.18440629217685,-6.10428346637329
5.63018726136624,0.124656186069638
-0.663494240975987,1.84540830608764
4.55135749604641,0.827494368518979
-1.73150850508274,-5.42643178943238
-1.59684671137394,-6.78672470096192
5.43192218568264,0.663636550869137
5.76875709321438,1.41548810955444
