SampleID,Factor,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller,Tissue,Condition
IS15_24_ChIP_rep1_narrow,CEBPa_IS15_24,1,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_24_ChIP_rep1_hg38.bwa.srt.md.q15.bam,IS15_24_ChIP_rep1_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_24_ChIP_rep1_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/IS15_24_ChIP_rep1_peaks.narrowPeak,narrow,NA,24
IS15_24_ChIP_rep2_narrow,CEBPa_IS15_24,2,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_24_ChIP_rep2_hg38.bwa.srt.md.q15.bam,IS15_24_ChIP_rep2_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_24_ChIP_rep2_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/IS15_24_ChIP_rep2_peaks.narrowPeak,narrow,NA,24
IS15_48_ChIP_rep1_narrow,CEBPa_IS15_48,1,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_48_ChIP_rep1_hg38.bwa.srt.md.q15.bam,IS15_48_ChIP_rep1_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_48_ChIP_rep1_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/IS15_48_ChIP_rep1_peaks.narrowPeak,narrow,NA,48
IS15_48_ChIP_rep2_narrow,CEBPa_IS15_48,2,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_48_ChIP_rep2_hg38.bwa.srt.md.q15.bam,IS15_48_ChIP_rep2_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/IS15_48_ChIP_rep2_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/IS15_48_ChIP_rep2_peaks.narrowPeak,narrow,NA,48
WT_24_ChIP_rep1_narrow,CEBPa_WT_24,1,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/WT_24_ChIP_rep1_hg38.bwa.srt.md.q15.bam,WT_24_ChIP_rep1_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/WT_24_ChIP_rep1_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/WT_24_ChIP_rep1_peaks.narrowPeak,narrow,NA,24
WT_24_ChIP_rep2_narrow,CEBPa_WT_24,2,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/WT_24_ChIP_rep2_hg38.bwa.srt.md.q15.bam,WT_24_ChIP_rep2_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/WT_24_ChIP_rep2_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/WT_24_ChIP_rep2_peaks.narrowPeak,narrow,NA,24
WT_48_ChIP_rep1_narrow,CEBPa_WT_48,1,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/WT_48_ChIP_rep1_hg38.bwa.srt.md.q15.bam,WT_48_ChIP_rep1_input,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/BAM/WT_48_ChIP_rep1_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/NarrowPeak/WT_48_ChIP_rep1_peaks.narrowPeak,narrow,NA,48
WT_48_ChIP_rep2_narrow,CEBPa_WT_48,2,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/test/WT48_ChIP_rep2_hg38.bwa.srt.md.q15.bam,WT_48_ChIP_rep1_input_1,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/test/WT_48_ChIP_rep1_input_hg38.bwa.srt.md.q15.bam,/Users/magalhae/Desktop/Julian_ChIP_CEBPA/test/WT48_ChIP_rep2_peaks.narrowPeak,narrow,NA,48
