RowOrder,GeneID,Cluster,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11
1006,ANK1,EarlyInter,1.33971893,0.931466907,-0.755312202,-0.039873204,-1.082267632,0.135923084,-0.263427115,0.146027302,-1.318869933,1.970434034,-0.917302873,-0.146517298
1007,DAGLB,EarlyInter,0.860253802,1.944886711,-0.991537759,-0.262627548,-1.586377386,0.141155786,0.795248854,-0.75762392,0.818126369,0.151896341,-0.986870001,-0.126531249
1008,CCDC102A,EarlyInter,-0.123553033,-0.024876781,0.651171557,0.139146208,-1.440968543,1.085869332,-0.011142648,-0.009984456,1.85768178,-0.54479205,-1.859628698,0.281077331
1009,CIZ1,EarlyInter,0.576227503,1.12766808,-0.270322391,0.486126654,0.529503846,-0.449715696,-0.114583772,0.073334093,1.063947632,0.312565687,-2.614962563,-0.719789073
1011,CD79A,EarlyInter,0.219933337,0.036913776,0.840992928,0.466369988,-1.753224254,0.821907035,0.823391655,0.410323298,0.157781651,-0.361510834,-2.22637001,0.56349143
1012,FSIP1,EarlyInter,0.920610932,0.71577938,0.603254032,-0.063411322,0.984291564,-1.747326844,-0.572460979,0.426416314,-0.24561301,-1.258186083,-1.120490315,1.357136331
1013,C1orf109,EarlyInter,0.694386744,-0.299850162,1.139093191,-0.325734047,-1.195802164,0.406824947,1.48656662,1.152403789,-0.158932619,-0.310623345,-1.752116596,-0.836216357
1014,FBN1,EarlyInter,-0.622768423,-0.289622319,-0.471984508,-0.510881287,1.979235399,0.065998347,-0.688368132,-0.245131683,2.211588301,-0.570775657,-0.381423227,-0.475866811
1015,CCDC117,EarlyInter,0.968086381,0.62092914,0.398122573,1.386306349,-1.820036944,0.677097411,-0.488683412,0.068295248,-1.810154693,0.399189094,-0.016866758,-0.38228439
1016,FAM216A,EarlyInter,-0.05682408,-1.048120578,1.193599949,-0.396957152,-0.264682519,0.965654191,0.902608648,0.607019701,1.015803096,-0.155856955,-2.174562195,-0.587682107
1017,FANCE,EarlyInter,0.02627902,0.462257043,-0.260106761,1.078791393,-1.02399382,-0.158656317,-0.863553023,0.774343634,0.035870243,0.603980145,-2.146069266,1.47085771
1018,BUD13,EarlyInter,-0.042756089,1.20363243,-1.167044065,1.011615471,-0.515420149,-1.073096443,-1.10624392,0.444246075,-0.97936677,1.044002073,-0.298589787,1.479021173
1019,CAP2,EarlyInter,-0.791891652,-0.585845442,1.990890911,0.361295667,-1.125803322,0.815091218,-0.383710281,1.033091934,-0.349645515,-0.661916918,-1.195607958,0.894051357
1020,CCP110,EarlyInter,-0.460667378,0.869700628,-1.141997445,0.219484563,-0.564916926,0.030561139,-0.942451021,-0.102602987,-0.154990186,1.421629401,-1.17965101,2.005901222
1021,ARHGAP42,EarlyInter,0.485322223,0.738279486,0.537030277,0.025802719,-1.679296324,0.50168353,1.293693013,0.883455173,-1.254472614,-0.151588025,-1.653211121,0.273301663
1022,CEP83,EarlyInter,1.026435231,0.224937378,0.966209315,-0.41284877,-1.101041444,0.24169437,0.106173926,1.001310381,0.124449047,0.415153028,-2.512568668,-0.079903795
1023,CLN6,EarlyInter,-0.643362369,-0.127467389,1.171532916,-0.080769533,0.277696487,-0.132224263,-1.233584666,0.517302023,2.19483433,-0.290796746,-1.547191924,-0.105968865
1024,CUBN,EarlyInter,-0.887819066,-0.552625514,1.688197231,-0.526229754,-0.49631496,0.184930606,-0.633792437,-0.64119199,1.226931015,-0.369378347,1.833493765,-0.826200549
1025,CACNA2D4,EarlyInter,-0.432680121,-0.613762812,1.797056764,0.88682135,0.131568724,-0.37641593,0.93499782,1.205057442,-0.250900004,-1.494350672,-1.037594748,-0.749797813
1026,AP3B2,EarlyInter,-0.431727482,0.291817641,-0.627539129,0.752251191,0.831836681,-1.259185808,-1.216815008,1.354517697,-0.900137716,-0.973047529,0.935827024,1.242202437
1027,AHCYL1,EarlyInter,0.737175277,1.335972066,-1.596358327,0.231318683,0.398335754,-1.592345986,-0.896377073,0.384432867,0.946310136,-0.911786065,0.823358148,0.139964521
1028,ADAMTSL2,EarlyInter,0.387847379,0.040361927,1.031989313,-0.765473735,1.010134876,0.050583097,1.203502156,-1.046411128,0.582134071,-1.179267519,-1.889767064,0.574366629
1029,CAPN13,EarlyInter,-0.908617949,-1.001636801,0.037257999,-1.071575327,0.704860459,1.83841457,-0.176648251,0.367890254,0.581320302,-0.392481338,-1.309644038,1.33086012
1030,ARID2,EarlyInter,1.518708978,1.195216246,-0.896205788,-1.060134533,1.339194123,-0.635979879,-0.29534922,-0.341524996,0.297479913,-0.180215756,0.618496559,-1.559685647
1031,CTSG,EarlyInter,-0.808436864,-0.863460154,0.084198531,0.009382393,1.227546521,-0.278940914,-0.339785885,-0.23581652,2.431467355,-0.814931919,-0.972829325,0.561606781
1032,ATXN10,EarlyInter,0.861663144,0.474415555,0.79854624,0.657577684,-1.024116346,0.146650999,0.865867034,0.338210123,-0.75503496,0.537175476,-2.440816884,-0.460138065
1033,ELP6,EarlyInter,0.609135396,1.165869424,-0.315966188,0.680310245,-1.22385721,-0.313134869,-0.020078781,0.484302272,-1.170929932,1.187212332,-1.866076259,0.783213569
1034,EPDR1,EarlyInter,0.30177745,0.190643801,0.870488004,-0.188363053,-0.001769236,-0.20676621,0.546721871,0.719759461,0.280416488,0.505191546,-2.980669126,-0.037430996
1035,CHCHD3,EarlyInter,0.754933515,0.828500261,-0.140083509,0.851503144,-1.22929361,-0.278548707,0.139002567,0.937480219,-0.856620198,0.469216364,-2.232811828,0.756721782
1036,ANAPC11,EarlyInter,-0.641527209,0.110870315,-0.355545777,1.83455271,-0.48223241,-0.183795097,-0.50124568,0.069103457,-1.231482675,0.30233263,-0.938987396,2.017957132
1037,EEF2KMT,EarlyInter,0.111218993,-1.250085111,1.505463808,-1.153410991,-0.719464881,1.046625331,0.975382572,0.267195718,0.650310486,0.687617268,-1.214682838,-0.906170356
1038,EXOSC8,EarlyInter,0.488695066,0.337920106,-0.378483992,0.948644861,-0.967549499,-0.007173243,-0.837114683,1.04518221,-1.069453218,0.562808177,-1.705868854,1.582393068
1039,CDKN2D,EarlyInter,-0.562044837,0.400546432,-0.112703033,1.935055783,-1.299289782,0.102093448,0.153245322,0.068442264,-1.151405689,-0.903793702,-0.304757899,1.674611693
