Gene_name,stat
Sun1,9.953
Plek,9.945
Cpox,9.943
Acox1,9.94
Trim7,9.938
Aldh4a1,9.922
Cd276,9.919
Ctsh,9.912
Ube2h,9.902
Wdyhv1,9.899
Serinc2,9.894
Fam189a2,9.892
Dusp3,9.891
Sgcb,9.882
Cbs,9.879
Elmo1,9.875
Cds2,9.853
Herpud1,9.85
Dgkd,9.849
Radx,9.849
Tpi1,9.835
Herpud2,9.833
Ralgps1,9.833
Lmod1,9.819
2610507B11Rik,9.816
Mfge8,9.787
Hsf2bp,9.779
Trp53inp2,9.771
Maff,9.766
Atp1b2,9.757
Cltb,9.753
Mfsd6,9.753
Plekhb2,9.751
St3gal5,9.746
Uso1,9.745
Insig1,9.708
Suclg1,9.708
Ckb,9.707
P4ha1,9.706
Zbtb42,9.705
Dnajc28,9.704
Acat1,9.693
Intu,9.691
Cuedc1,9.667
Adgrg1,9.654
Aif1l,9.646
Fyco1,9.645
Hoxa7,9.635
St6galnac4,9.629
Gaa,9.567
Marchf2,9.557
Gfra4,9.538
Slc19a1,9.535
Enpp4,9.53
Sgsm3,9.529
Rab27b,9.512
Lman2l,9.511
Slc41a2,9.505
Glg1,9.503
Pick1,9.499
Galnt11,9.489
Slc7a5,9.475
Syngr2,9.45
Mov10l1,9.439
Zdhhc15,9.428
Exoc4,9.425
Ap3s2,9.411
Col23a1,9.411
Anxa3,9.409
Optn,9.404
Rab3a,9.401
Vamp1,9.399
Tcn2,9.381
Asph,9.368
Tarsl2,9.368
Tpcn2,9.367
Ficd,9.274
Hid1,9.257
Fam53c,9.249
Cat,9.247
Acss2,9.232
Atp6v1h,9.229
Stim1,9.221
Gse1,9.215
Atp6v0e2,9.2
6430548M08Rik,9.18
Jun,9.172
Exoc6,9.167
Card14,9.129
Inpp5j,9.126
Myadml2,9.123
Me2,9.112
Fbxl2,9.111
Aplp1,9.105
Comp,9.102
Itgav,9.102
Slc30a9,9.099
Serping1,9.092
Ecm1,9.052
Tnfrsf22,9.041
Il11ra1,9.033
Daglb,9.024
Idh3a,9.024
Colq,9.02
Washc5,9.02
Zfp3,9.018
Hagh,9.013
Scap,9.008
Wdsub1,9.003
Chrnb1,8.999
Dnase1l1,8.997
Irak2,8.996
Gsto2,8.995
Mavs,8.994
Asah2,8.959
Pisd,8.959
Rab5b,8.935
Sctr,8.93
F11r,8.929
Mettl27,8.925
Synm,8.924
Fggy,8.914
Trpv2,8.912
Dvl1,8.895
Slc12a2,8.884
Cmas,8.88
Ripply1,8.867
Aifm2,8.85
Tdrd9,8.847
Slc16a2,8.845
Tmem37,8.82
Xpnpep1,8.817
Pik3c2b,8.805
Insyn1,8.801
Mapre2,8.801
Insig2,8.8
Tmem214,8.8
Tbcel,8.776
Dtna,8.769
Ppp2r5a,8.756
Uchl1,8.749
Copg2,8.735
Rps6kb1,8.733
Tmem165,8.733
Adgre5,8.724
Epor,8.718
Wipi1,8.708
Pde4a,8.699
Fam83h,8.68
Lactb2,8.671
Mtfr1,8.668
Ier5l,8.666
Ncam1,8.653
Rfk,8.646
Tapbpl,8.644
Plaat3,8.64
1700012B09Rik,8.634
Ppp1r14c,8.634
Sh3bp4,8.604
Adgrf3,8.603
Dnajb4,8.592
Ak1,8.549
Rhbdd2,8.547
Dmxl2,8.546
Plcg2,8.544
Rorc,8.542
Agl,8.524
Snx10,8.516
Mfap1b,8.504
Xirp2,8.5
Zfr2,8.496
Fzd5,8.487
Pink1,8.472
Gmppa,8.471
Lpin3,8.47
Mtmr6,8.47
Tmco3,8.467
Srpk3,8.466
Cnst,8.465
Plekhh3,8.456
Rab3ip,8.455
Lrp10,8.445
Parp3,8.438
Impdh1,8.433
Msln,8.432
Proser2,8.429
Mrtfb,8.425
Nptx1,8.413
Osbpl9,8.403
Ccdc88b,8.399
Ctrb1,8.392
R3hdml,8.391
Wbp2,8.385
Coro6,8.356
Rab3gap1,8.35
A930003A15Rik,8.346
Bicd1,8.346
Trmt2b,8.33
Cdkl2,8.31
Zfyve27,8.31
Parvb,8.307
Ifi27,8.3
Mapk12,8.299
Dbi,8.294
Hsdl1,8.294
Agtrap,8.283
Osbpl10,8.268
Yipf7,8.267
Tmem120b,8.253
Acot7,8.238
Creld1,8.233
Septin9,8.219
Tram2,8.218
Rapgef1,8.211
Fzd9,8.196
Reep2,8.195
Tcp11l2,8.195
Rnf103,8.186
Nup210,8.185
Gusb,8.183
Maged1,8.18
Sorbs3,8.178
Zdhhc24,8.178
Ankrd40,8.162
Pdxp,8.159
Des,8.146
Myom1,8.143
Uckl1,8.142
Nmu,8.136
Cpne2,8.12
Vps39,8.12
Stk25,8.115
Map3k9,8.108
Jag2,8.107
Spag9,8.095
Ppl,8.094
Ap5b1,8.092
Hsd17b4,8.092
Ttc9,8.085
Mif4gd,8.081
Zbtb18,8.074
Hapln4,8.072
Casq2,8.07
Ginm1,8.07
Slc27a4,8.056
Tspan17,8.051
Cyrib,8.048
Adi1,8.046
Shisal1,8.039
Gyg,8.029
Saraf,8.028
Lypla1,8.026
Srl,8.026
Peli3,8.021
Ppm1e,8.013
Tmcc3,8.01
Spsb2,7.996
Pxk,7.992
Aktip,7.99
Inpp5a,7.988
Sh2d6,7.987
Sync,7.979
Tbc1d8,7.979
Bace1,7.978
Haghl,7.972
Slc35f5,7.972
Oaz2,7.962
Lrrc39,7.96
Cbx5,7.941
2310022A10Rik,7.931
Armcx3,7.925
Coq8a,7.924
Ptk2b,7.896
Hspa2,7.89
Nrd1,7.889
Npr2,7.881
Bnip3,7.876
Ncs1,7.872
Slc4a8,7.869
Vmn1r43,7.838
Rnf10,7.837
Erlin1,7.83
Cdadc1,7.815
Rcn2,7.81
Epb41l5,7.804
Atp8a1,7.797
Aamdc,7.782
Fbxo44,7.774
2510009E07Rik,7.773
Fam13c,7.76
Ubr3,7.76
Serpinb9c,7.757
Nbeal2,7.754
Creg1,7.747
Fads3,7.741
Stk32b,7.737
Erc1,7.727
Bicd2,7.709
Trappc11,7.707
Hdac5,7.7
Fdps,7.695
Ibtk,7.695
Ctnnal1,7.692
Sc5d,7.682
Abcd1,7.68
Ptp4a3,7.679
Tmem38a,7.675
Atp6v0b,7.673
Reep5,7.668
3425401B19Rik,7.658
Ormdl3,7.657
Tmem170,7.656
Taldo1,7.65
Coq9,7.647
Neo1,7.632
Abhd13,7.62
Map3k7cl,7.619
Ttc7b,7.612
Armcx4,7.608
Hap1,7.601
Med9,7.601
Arhgef3,7.591
Nars2,7.59
Apoo,7.588
Gfra2,7.585
Tmem161a,7.583
Apeh,7.578
Ank2,7.561
Napepld,7.56
Limk2,7.554
Desi1,7.546
Gne,7.541
Crat,7.536
Atg9a,7.532
Hsdl2,7.53
Mtm1,7.529
Il33,7.527
Nudt18,7.521
Scrn1,7.517
Serpinb1c,7.513
Bbln,7.512
Prepl,7.507
Iffo1,7.505
Ppme1,7.504
Dcaf6,7.499
Dus2,7.493
Zfand6,7.493
Cep20,7.492
Clcn7,7.486
Naa80,7.454
Kyat1,7.449
Robo1,7.448
Rint1,7.427
Abcb6,7.426
Zfp52,7.425
Plppr2,7.423
Il17rc,7.421
Jtb,7.417
Rbms2,7.414
Rogdi,7.41
Ctns,7.403
Kcnn1,7.4
Sugp2,7.389
Ldlrad4,7.374
Slc25a12,7.37
Cnnm4,7.368
Pnpo,7.368
Ikbkg,7.36
Otulin,7.355
Atp6v0d1,7.352
Epha2,7.337
Ppa2,7.332
Chrnd,7.326
Tlcd1,7.324
Gtpbp2,7.317
Mical2,7.309
Lamc2,7.306
Prxl2a,7.295
Asrgl1,7.291
Unc45b,7.285
Abcb10,7.283
Tmem132a,7.278
Gnl3l,7.271
Gm13889,7.268
Scamp1,7.252
Pfkm,7.248
Cast,7.246
Inha,7.243
Susd5,7.239
Slc16a13,7.228
Tchh,7.221
Jund,7.219
Tmem185a,7.219
Macrod1,7.214
Pstpip1,7.207
Snai3,7.207
Napa,7.206
Plekha7,7.204
Mob4,7.203
Pcmtd2,7.203
Usp13,7.203
Osbpl2,7.201
Sharpin,7.201
Dpp3,7.2
Ankrd23,7.194
Emc1,7.194
Rnf25,7.192
Clcn4,7.189
Tdrd7,7.187
Cnksr1,7.185
Chn2,7.182
Cdc25a,7.174
Fam214a,7.174
Hoga1,7.174
Map1lc3a,7.157
Ppp3ca,7.156
Slc9a2,7.156
Fahd2a,7.151
Mpi,7.146
Tbc1d1,7.142
Gpt2,7.141
H2bc4,7.139
Fhad1,7.132
Ptdss1,7.129
Slc9a4,7.129
Kiss1r,7.123
Ip6k3,7.116
Tnni2,7.11
Smpdl3a,7.098
Stradb,7.096
Synrg,7.094
Cul4a,7.078
Nit1,7.076
Pgap6,7.075
Gpr146,7.071
Ppil2,7.066
Ugp2,7.065
Slc6a6,7.058
Tmem175,7.056
Adipor2,7.055
Trak1,7.052
Yipf6,7.05
Tob1,7.04
Gpr107,7.038
Phf10,7.038
Xaf1,7.032
Rab9b,7.028
Sptan1,7.028
Akirin1,7.023
S100a1,7.016
Vamp2,7.015
Nup93,7.011
Sec11c,7.011
Hoxc6,7.009
Chrna1,7.008
Setd6,7.005
Pon2,7.002
Ppt1,7.002
Cpe,7
Acta1,6.995
Larp1b,6.991
Tec,6.991
Arl4a,6.988
Pdpk1,6.979
Cdnf,6.974
Pkn3,6.974
Paqr8,6.971
Apol9a,6.969
Fitm2,6.969
Fpgs,6.962
Tbc1d23,6.959
Tmem106c,6.959
Ube2q2,6.953
Flii,6.949
Hexim1,6.948
Ttc39c,6.944
Rnf14,6.943
Ap3b1,6.937
Nipal3,6.932
Magea13,6.918
Fblim1,6.913
Mast2,6.912
Plekhf2,6.909
Dhrs7,6.908
Insl6,6.908
Tnfrsf23,6.906
Tafazzin,6.896
Tpm2,6.895
Pex13,6.888
Noa1,6.883
Ascc2,6.867
Cage1,6.863
Akt1,6.854
Ubac1,6.853
Abcf1,6.851
Atg4a,6.846
Scd1,6.844
Slc16a3,6.844
Bnip3l,6.832
Pdlim1,6.825
Rtn4,6.824
Ipp,6.822
Fez2,6.816
Morn4,6.814
Ptp4a2,6.812
Klhl40,6.81
Atxn10,6.809
Slc3a2,6.804
Phc2,6.8
Pbxip1,6.799
Lancl1,6.797
Anxa11,6.795
Pkm,6.795
Degs1,6.793
Prkag3,6.793
Gm17455,6.79
Trpm4,6.77
R3hdm2,6.769
Gtf2a2,6.768
Gpr20,6.764
Ap3d1,6.76
Tmem63b,6.756
Pradc1,6.754
Syn1,6.753
Asb1,6.752
Map2k1,6.751
Spag4,6.75
Serpinb8,6.747
Alas1,6.745
Trp53i13,6.744
Cblc,6.741
Tmem143,6.741
Wdr41,6.735
Tnfrsf9,6.733
Abhd15,6.728
Echdc2,6.727
Isg20,6.726
Hes6,6.725
Slc2a13,6.721
Tiparp,6.721
Stxbp1,6.72
Rnft2,6.719
Gigyf2,6.708
Gbe1,6.699
Clic5,6.696
Mgl2,6.691
Vasp,6.689
Igf2r,6.68
Trim47,6.678
Tada3,6.676
Dnajc1,6.668
Rpusd3,6.665
Krt7,6.655
Liph,6.655
Scd2,6.655
Vps37a,6.647
Carhsp1,6.641
Orai1,6.64
Dnajc18,6.637
Smyd4,6.635
Dnm1l,6.633
Ap1b1,6.629
Klhdc1,6.627
Slc49a4,6.627
Mylk,6.621
Snx33,6.617
Ppp2r5c,6.612
Zcchc17,6.607
Radil,6.606
Lat2,6.582
Ralbp1,6.579
Mfap1a,6.576
Nyap1,6.576
Gjd4,6.575
Ube2g2,6.574
Vmn1r42,6.574
Cda,6.573
Jsrp1,6.572
